api,tags,method,path
HealthCheck,auth,GET,/health
PasswordPolicy,auth,GET,/password/policy
UsernamePolicy,auth,GET,/username/policy
LookupCurrent,auth,POST,/lookup/current
Login,auth,POST,/login
LoginDecrypt,auth,POST,/login/q
Logout,auth,POST,/logout
LookupNew,auth,POST,/lookup/new
MobileOtp,auth,POST,/mobile/otp
VerifyMobileOtp,auth,POST,/mobile/otp/verify
Register,auth,POST,/register
TokenRenew,auth,POST,/token/renew
ResendEmailVerification,auth,POST,/email/verification/resend
VerifyEmail,auth,POST,/email/verification/verify/{token}
GetProfile,auth,GET,/profile
UpdateProfile,auth,PUT,/profile
DeleteUser,auth,POST,/user/delete
ForgotUsername,auth,POST,/forgot/username
ForgotPassword,auth,POST,/forgot/password
VerifyForgotPassword,auth,POST,/forgot/password/verify/{token}
SetForgotPassword,auth,POST,/forgot/password/set
UpdateProfilePassword,auth,PUT,/profile/password
EnrollBiometric,auth,POST,/biometric/enroll
VerifyBiometric,auth,POST,/biometric/verify
UnenrollBiometric,auth,DELETE,/biometric/unenroll
UpdateDeviceDetail,auth,PUT,/device/detail
